ward_id,method,year,cumulative_exhaustion,percentage_christian,pct_over_65,pct_women,pct_married_or_widowed,pct_uni_educated,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked,pct_unemployed,electorate,turnout,k/n
S13002521,2,2017.0,52.53,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5811.0,0.5639,0.4286
S13002521,2,2022.0,59.35,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5987.0,0.5474,0.4286
S13002522,0,2017.0,22.61,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,6513.0,0.4491,0.3
S13002522,3,2017.0,71.01,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,6513.0,0.4227,0.4286
S13002522,3,2017.0,71.01,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,6513.0,0.4491,0.3
S13002522,2,2017.0,37.92,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,6513.0,0.4227,0.4286
S13002522,2,2017.0,37.92,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,6513.0,0.4491,0.3
S13002522,1,2017.0,12.909999999999998,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,6513.0,0.4227,0.4286
S13002522,1,2017.0,12.909999999999998,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,6513.0,0.4491,0.3
S13002522,0,2017.0,22.61,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,6513.0,0.4227,0.4286
S13002522,3,2022.0,82.74000000000001,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,5638.0,0.5188,0.3
S13002522,0,2022.0,22.78,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,5638.0,0.5188,0.3
S13002522,0,2022.0,22.78,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,5638.0,0.4883,0.4286
S13002522,1,2022.0,11.7,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,5638.0,0.5188,0.3
S13002522,1,2022.0,11.7,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,5638.0,0.4883,0.4286
S13002522,2,2022.0,57.75,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,10.0,3.0,2925.0,3.7925,0.3792,0.0239,5638.0,0.5188,0.3
S13002522,2,2022.0,57.75,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,5638.0,0.4883,0.4286
S13002522,3,2022.0,82.74000000000001,0.4045,0.282804489,0.011600000000000055,0.5289,0.2917,7.0,3.0,2753.0,3.0639,0.4377,0.0239,5638.0,0.4883,0.4286
S13002523,1,2017.0,7.8999999999999995,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,5307.0,0.4667,0.4286
S13002523,3,2022.0,78.38,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,4867.0,0.4136,0.2
S13002523,0,2017.0,20.04,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,5307.0,0.4667,0.4286
