ward_code,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked
S13002989,7.0,4.0,10516.0,3.5672,0.5096
S13002761,6.0,3.0,4829.0,3.0955,0.5159
S13002762,7.0,3.0,4895.0,3.1479,0.4497
S13002763,9.0,4.0,4557.0,3.3164,0.3685
S13002767,8.0,3.0,4238.0,3.1432,0.3929
S13002766,7.0,3.0,4178.0,2.9347,0.4192
S13002770,6.0,3.0,3271.0,2.7114,0.4519
S13002764,6.0,3.0,4007.0,2.8308,0.4718
S13002765,7.0,1.0,3455.0,2.8495,0.4071
S13002771,7.0,3.0,3045.0,2.9701,0.4243
S13002768,8.0,3.0,3968.0,3.0963,0.387
S13002769,7.0,3.0,3507.0,2.9079,0.4154
S13002909,6.0,1.0,4653.0,2.4737,0.4123
S13002908,9.0,4.0,7608.0,3.5878,0.3986
S13002911,6.0,3.0,6270.0,2.978,0.4963
S13002910,8.0,4.0,6279.0,3.2926,0.4116
S13002912,7.0,4.0,7790.0,3.1716,0.4531
S13002913,6.0,3.0,6141.0,2.9798,0.4966
S13002838,9.0,3.0,3674.0,3.4415,0.3824
S13002839,7.0,3.0,4154.0,3.0585,0.4369
S13002846,10.0,4.0,4997.0,3.5087,0.3509
S13002847,8.0,4.0,4797.0,3.2637,0.408
S13002845,5.0,3.0,5872.0,2.7285,0.5457
S13002844,7.0,4.0,7736.0,3.3047,0.4721
S13002840,10.0,3.0,2616.0,3.5547,0.3555
S13002841,6.0,3.0,4689.0,3.0949,0.5158
S13002843,7.0,3.0,6886.0,3.213,0.459
S13002842,7.0,4.0,3427.0,3.466,0.4951
S13002837,7.0,3.0,4752.0,3.0503,0.4358
S13002836,8.0,4.0,6793.0,3.2408,0.4051
S13002835,8.0,4.0,6598.0,3.3634,0.4204
S13003019,7.0,3.0,6553.0,3.1775,0.4539
S13003018,6.0,3.0,5793.0,2.9451,0.4909
S13003023,7.0,3.0,4949.0,3.256,0.4651
S13003022,6.0,3.0,5652.0,2.9016,0.4836
S13003020,7.0,3.0,4198.0,3.1541,0.4506
S13003021,8.0,3.0,5588.0,3.3826,0.4228
S13002905,6.0,3.0,6099.0,3.0395,0.5066
S13002904,7.0,3.0,4733.0,3.2677,0.4668
S13002906,8.0,3.0,6656.0,3.3888,0.4236
S13002907,7.0,3.0,5632.0,3.3391,0.477
S13002903,6.0,3.0,6648.0,3.1125,0.5188
S13002902,6.0,3.0,7035.0,3.0913,0.5152
S13002901,6.0,3.0,6144.0,2.9456,0.4909
S13003145,7.0,3.0,3577.0,3.0447,0.435
S13003033,7.0,3.0,4025.0,3.1111,0.4444
S13003147,11.0,5.0,7044.0,3.5802,0.3255
S13003146,6.0,1.0,2431.0,2.8787,0.4798
S13003032,10.0,4.0,4666.0,3.3706,0.3371
S13003034,6.0,4.0,5553.0,3.2471,0.5412
S13003041,7.0,3.0,3356.0,3.1031,0.4433
S13003148,12.0,5.0,9845.0,3.5733,0.2978
S13003149,8.0,5.0,6506.0,3.4362,0.4295
S13002878,7.0,4.0,3694.0,3.1551,0.4507
S13002879,6.0,3.0,3496.0,2.7428,0.4571
S13002877,6.0,3.0,2577.0,2.9154,0.4859
S13002876,8.0,4.0,4032.0,3.3509,0.4189
S13002875,8.0,4.0,3774.0,3.3609,0.4201
S13003108,8.0,3.0,4736.0,3.4685,0.4336
S13003097,8.0,3.0,5431.0,3.2215,0.4027
S13003096,7.0,3.0,6115.0,2.9526,0.4218
S13003109,8.0,3.0,5362.0,3.0602,0.3825
S13003095,8.0,4.0,7246.0,3.1387,0.3923
S13003113,7.0,4.0,7073.0,3.127,0.4467
S13003107,8.0,3.0,5529.0,3.181,0.3976
S13003098,9.0,3.0,5452.0,3.0547,0.3394
S13003099,8.0,3.0,6546.0,3.1218,0.3902
S13003106,7.0,3.0,5141.0,3.2747,0.4678
S13003112,7.0,4.0,5352.0,3.2564,0.4652
S13003104,8.0,3.0,5068.0,3.2603,0.4075
S13003110,6.0,3.0,5248.0,2.8809,0.4802
S13003111,8.0,3.0,4790.0,3.2411,0.4051
S13003105,6.0,3.0,5806.0,2.8345,0.4724
S13003101,7.0,3.0,5439.0,3.1737,0.4534
S13003114,9.0,4.0,6246.0,3.1888,0.3543
S13003100,8.0,3.0,5227.0,3.2126,0.4016
S13003102,8.0,3.0,6199.0,3.2765,0.4096
S13003103,7.0,3.0,6342.0,2.9845,0.4264
S13002867,7.0,3.0,4515.0,3.1245,0.4464
S13002873,6.0,3.0,3798.0,3.1077,0.5179
S13002872,10.0,4.0,6503.0,3.519,0.3519
S13002870,8.0,4.0,7194.0,3.3304,0.4163
S13002871,7.0,3.0,5401.0,3.0891,0.4413
